"Info_organism_id","N"
"106276",5
"121224",1
"123734",1
"129788",3
"180454",6
"265619",1
"29159",24
"29170",1
"30215",1
"32278",1
"334426",1
"34610",1
"34631",1
"34632",1
"360549",1
"36087",11
"36936",5
"37546",1
"40697",3
"44386",1
"46245",1
"46835",4
"51022",8
"51031",12
"558553",22
"58216",1
"58217",2
"58218",5
"60189",5
"6182",119
"6183",416
"6184",2
"6192",82
"6198",3
"6203",4
"6204",13
"6206",13
"6207",5
"6210",20
"6211",12
"6238",2
"6239",1
"6248",1
"6269",10
"6279",9
"6282",379
"6293",10
"6313",14
"6334",9
"6339",2
"63673",1
"6491",4
"6492",1
"6493",1
"6495",1
"6661",1
"6687",10
"6689",12
"6690",5
"6728",3
"6761",11
"6853",1
"6858",4
"6860",1
"6878",2
"6887",14
"6938",5
"6941",2
"6945",2
"6954",45
"6956",38
"6973",9
"6978",29
"7004",1
"70175",3
"7137",1
"7154",2
"7155",18
"7160",1
"7227",8
"7234",1
"7441",5
"74437",9
"7444",1
"7453",1
"7454",7
"7460",4
"79327",1
"79923",1
"85552",29
"95602",8
